77 vocabcat records written
ambil, vrb, oov, air
ambil, vrb, oov, anjing
ambil, vrb, oov, arti
ambil, vrb, oov, batu
ambil, vrb, oov, bensin
ambil, vrb, oov, bom
ambil, vrb, oov, cat
ambil, vrb, oov, cek
ambil, vrb, oov, cermin
ambil, vrb, oov, daging
ambil, vrb, oov, dompet
ambil, vrb, oov, gamelan
ambil, vrb, oov, gelas
ambil, vrb, oov, gunting
ambil, vrb, oov, hewan
ambil, vrb, oov, jam
ambil, vrb, oov, jawab
ambil, vrb, oov, jualan
ambil, vrb, oov, kaca
ambil, vrb, oov, kah
ambil, vrb, oov, kain
ambil, vrb, oov, kalendar
ambil, vrb, oov, kayu
ambil, vrb, oov, kentang
ambil, vrb, oov, keranjang
ambil, vrb, oov, kertas
ambil, vrb, oov, komputer
ambil, vrb, oov, kopi
ambil, vrb, oov, kotak
ambil, vrb, oov, kucing
ambil, vrb, oov, kuda
ambil, vrb, oov, kunci
ambil, vrb, oov, kursi
ambil, vrb, oov, lampu
ambil, vrb, oov, mangga
ambil, vrb, oov, masakan
ambil, vrb, oov, meja
ambil, vrb, oov, mobil
ambil, vrb, oov, motor
ambil, vrb, oov, nyewa
ambil, vrb, oov, papan
ambil, vrb, oov, pel
ambil, vrb, oov, pensil
ambil, vrb, oov, penumpang
ambil, vrb, oov, pipa
ambil, vrb, oov, pisau
ambil, vrb, oov, pos
ambil, vrb, oov, roti
ambil, vrb, oov, sabun
ambil, vrb, oov, sapu
ambil, vrb, oov, sepeda
ambil, vrb, oov, susu
ambil, vrb, oov, taksi
ambil, vrb, oov, tas
ambil, vrb, oov, uang
mengambil, vrb, oov, air
mengambil, vrb, oov, anjing
mengambil, vrb, oov, arti
mengambil, vrb, oov, batu
mengambil, vrb, oov, bensin
mengambil, vrb, oov, bom
mengambil, vrb, oov, cat
mengambil, vrb, oov, cek
mengambil, vrb, oov, cermin
mengambil, vrb, oov, daging
mengambil, vrb, oov, dompet
mengambil, vrb, oov, gamelan
mengambil, vrb, oov, gelas
mengambil, vrb, oov, gunting
mengambil, vrb, oov, hewan
mengambil, vrb, oov, jam
mengambil, vrb, oov, jawab
mengambil, vrb, oov, jualan
mengambil, vrb, oov, kaca
mengambil, vrb, oov, kah
mengambil, vrb, oov, kain
mengambil, vrb, oov, kalendar
mengambil, vrb, oov, kayu
mengambil, vrb, oov, kentang
mengambil, vrb, oov, keranjang
mengambil, vrb, oov, kertas
mengambil, vrb, oov, komputer
mengambil, vrb, oov, kopi
mengambil, vrb, oov, kotak
mengambil, vrb, oov, kucing
mengambil, vrb, oov, kuda
mengambil, vrb, oov, kunci
mengambil, vrb, oov, kursi
mengambil, vrb, oov, lampu
mengambil, vrb, oov, mangga
mengambil, vrb, oov, masakan
mengambil, vrb, oov, meja
mengambil, vrb, oov, mobil
mengambil, vrb, oov, motor
mengambil, vrb, oov, nyewa
mengambil, vrb, oov, papan
mengambil, vrb, oov, pel
mengambil, vrb, oov, pensil
mengambil, vrb, oov, penumpang
mengambil, vrb, oov, pipa
mengambil, vrb, oov, pisau
mengambil, vrb, oov, pos
mengambil, vrb, oov, roti
mengambil, vrb, oov, sabun
mengambil, vrb, oov, sapu
mengambil, vrb, oov, sepeda
mengambil, vrb, oov, susu
mengambil, vrb, oov, taksi
mengambil, vrb, oov, tas
mengambil, vrb, oov, uang
angkat, vrb, oov, air
angkat, vrb, oov, anjing
angkat, vrb, oov, arti
angkat, vrb, oov, batu
angkat, vrb, oov, bensin
angkat, vrb, oov, bom
angkat, vrb, oov, cat
angkat, vrb, oov, cek
angkat, vrb, oov, cermin
angkat, vrb, oov, daging
angkat, vrb, oov, dompet
angkat, vrb, oov, gamelan
angkat, vrb, oov, gelas
angkat, vrb, oov, gunting
angkat, vrb, oov, hewan
angkat, vrb, oov, jam
angkat, vrb, oov, jawab
angkat, vrb, oov, jualan
angkat, vrb, oov, kaca
angkat, vrb, oov, kah
angkat, vrb, oov, kain
angkat, vrb, oov, kalendar
angkat, vrb, oov, kayu
angkat, vrb, oov, kentang
angkat, vrb, oov, keranjang
angkat, vrb, oov, kertas
