77 vocabcat records written
15029, vrb, oov, air
15029, vrb, oov, anjing
15029, vrb, oov, arti
15029, vrb, oov, batu
15029, vrb, oov, bensin
15029, vrb, oov, bom
15029, vrb, oov, cat
15029, vrb, oov, cek
15029, vrb, oov, cermin
15029, vrb, oov, daging
15029, vrb, oov, dompet
15029, vrb, oov, gamelan
15029, vrb, oov, gelas
15029, vrb, oov, gunting
15029, vrb, oov, hewan
15029, vrb, oov, jam
15029, vrb, oov, jawab
15029, vrb, oov, jualan
15029, vrb, oov, kaca
15029, vrb, oov, kah
15029, vrb, oov, kain
15029, vrb, oov, kalendar
15029, vrb, oov, kayu
15029, vrb, oov, kentang
15029, vrb, oov, keranjang
15029, vrb, oov, kertas
15029, vrb, oov, komputer
15029, vrb, oov, kopi
15029, vrb, oov, kotak
15029, vrb, oov, kucing
15029, vrb, oov, kuda
15029, vrb, oov, kunci
15029, vrb, oov, kursi
15029, vrb, oov, lampu
15029, vrb, oov, mangga
15029, vrb, oov, masakan
15029, vrb, oov, meja
15029, vrb, oov, mobil
15029, vrb, oov, motor
15029, vrb, oov, nyewa
15029, vrb, oov, papan
15029, vrb, oov, pel
15029, vrb, oov, pensil
15029, vrb, oov, penumpang
15029, vrb, oov, pipa
15029, vrb, oov, pisau
15029, vrb, oov, pos
15029, vrb, oov, roti
15029, vrb, oov, sabun
15029, vrb, oov, sapu
15029, vrb, oov, sepeda
15029, vrb, oov, susu
15029, vrb, oov, taksi
15029, vrb, oov, tas
15029, vrb, oov, uang
14814, vrb, oov, air
14814, vrb, oov, anjing
14814, vrb, oov, arti
14814, vrb, oov, batu
14814, vrb, oov, bensin
14814, vrb, oov, bom
14814, vrb, oov, cat
14814, vrb, oov, cek
14814, vrb, oov, cermin
14814, vrb, oov, daging
14814, vrb, oov, dompet
14814, vrb, oov, gamelan
14814, vrb, oov, gelas
14814, vrb, oov, gunting
14814, vrb, oov, hewan
14814, vrb, oov, jam
14814, vrb, oov, jawab
14814, vrb, oov, jualan
14814, vrb, oov, kaca
14814, vrb, oov, kah
14814, vrb, oov, kain
14814, vrb, oov, kalendar
14814, vrb, oov, kayu
14814, vrb, oov, kentang
14814, vrb, oov, keranjang
14814, vrb, oov, kertas
14814, vrb, oov, komputer
14814, vrb, oov, kopi
14814, vrb, oov, kotak
14814, vrb, oov, kucing
14814, vrb, oov, kuda
14814, vrb, oov, kunci
14814, vrb, oov, kursi
14814, vrb, oov, lampu
14814, vrb, oov, mangga
14814, vrb, oov, masakan
14814, vrb, oov, meja
14814, vrb, oov, mobil
14814, vrb, oov, motor
14814, vrb, oov, nyewa
14814, vrb, oov, papan
14814, vrb, oov, pel
14814, vrb, oov, pensil
14814, vrb, oov, penumpang
14814, vrb, oov, pipa
14814, vrb, oov, pisau
14814, vrb, oov, pos
14814, vrb, oov, roti
14814, vrb, oov, sabun
14814, vrb, oov, sapu
14814, vrb, oov, sepeda
14814, vrb, oov, susu
14814, vrb, oov, taksi
14814, vrb, oov, tas
14814, vrb, oov, uang
15016, vrb, oov, air
15016, vrb, oov, anjing
15016, vrb, oov, arti
15016, vrb, oov, batu
15016, vrb, oov, bensin
15016, vrb, oov, bom
15016, vrb, oov, cat
15016, vrb, oov, cek
15016, vrb, oov, cermin
15016, vrb, oov, daging
15016, vrb, oov, dompet
15016, vrb, oov, gamelan
15016, vrb, oov, gelas
15016, vrb, oov, gunting
15016, vrb, oov, hewan
15016, vrb, oov, jam
15016, vrb, oov, jawab
15016, vrb, oov, jualan
15016, vrb, oov, kaca
15016, vrb, oov, kah
15016, vrb, oov, kain
15016, vrb, oov, kalendar
15016, vrb, oov, kayu
15016, vrb, oov, kentang
15016, vrb, oov, keranjang
15016, vrb, oov, kertas
15016, vrb, oov, komputer
15016, vrb, oov, kopi
15016, vrb, oov, kotak
15016, vrb, oov, kucing
15016, vrb, oov, kuda
15016, vrb, oov, kunci
15016, vrb, oov, kursi
15016, vrb, oov, lampu
15016, vrb, oov, mangga
15016, vrb, oov, masakan
15016, vrb, oov, meja
15016, vrb, oov, mobil
15016, vrb, oov, motor
15016, vrb, oov, nyewa
15016, vrb, oov, papan
15016, vrb, oov, pel
15016, vrb, oov, pensil
15016, vrb, oov, penumpang
15016, vrb, oov, pipa
15016, vrb, oov, pisau
15016, vrb, oov, pos
