memesan kamar hotel	booking a hotel room

Selamat sore.	Good afternoon.
Anda perlu kamar?	Do you need a room?
Ya.	Yes.
Ada yang dua tempat tidur?	Do you have a double room?
Ada.	Yes.
Untuk berapa lama, pak?	For how long, sir?
Untuk semingggu.	For a week.
Maaf, boleh lihat pasportnya?	Excuse me, may I see your passport?
Boleh.  Ini pasport saya.	Of course.  Here is my passport.
Tolong isi formulir ini, pak.	Please fill in this form, sir.
Silakan ikut saya, pak.	Please follow me, sir.
Di mana kamar mandi?	Where is the bathroom?
Di sebelah kiri, pak.	On the left, sir.
Ini kuncinya, pak.	Here is the key, sir.
Jika perlu sesuatu, telepon saja ke loby.	If you need something, just call the lobby.
Termia kasih.	Thank you.
Termia kasih kembali.	You're welcome.

di ruang tamu hotel	in the hotel's living room

Salamat malam.	Good evening.
Apa kabar, pak?	How are you, sir?
Kabar baik.	Fine.
Nomor berapa kamar Anda?	What is your room number?
Nomor lima kosong satu.	Number five zero one.
Anda dengan keluarga?	Are you with your family?
Ya.	Yes.
Di mana mereka?	Where are they?
Sedang tidur di kamar.	Sleeping in the room.
Nama saya Suparjo.	My name is Suparjo.
Saya Johnson.	I am Johnson.
Saya senang bertemu dengan Anda.	I'm glad to meet you.
Saya juga.	So am I. (I also.)
Anda suda makan?	Have you had dinner?
Belum.	Not yet.
Di sini ada restoran.	There's a restaurant here.
Di lantai sepuluh.	On the tenth floor.
Terima kasih, saya akan ke restoran.	Thank you, I'll go to the restaurant.

janji makan malam	a dinner date

Selamat malam.	Good evening.
Silakan masuk.	Please come in.
Sudah siap untuk berangkat?	Ready to go?
Sudah.	Ready.
Bagus.  Mana James?	Good.  Where's James?
Sedang berpakaian.	Still getting dressed.
Suruh dia lebih cepat.	Ask him to hurry.
Kita mau makan.	We want to eat.
Makan de mana?	Where shall we eat?
Di restoran, di samping hotel ini.	In the restaurant next to this hotel.
Kita makan apa?	What will we eat?
Kita coba masakan Indonesian.	Let's try the Indonesian food.
Enak?	Delicious?
Nanti kita coba dulu.	Let's try it first.
Ayo berangkat.	Let's go.
Aku pun sudah lapar.	I'm hungry too.
Ayo.	Come on.
Naik apa ke sana?	How do we get there?
Jalan kaki.	On foot.

di restoran	at the restaurant

Selamat malam.	Good evening.
Silakan duduk.	Please sit down.
Terima kasih.	Thank you.
Anda mau makan apa?	What would you like to eat?
Ada masakan apa saya, Pak?	What do you have, sir?
Ini daftar makanan.	Here is the menu.
Ada makan Eropah, Jepang dan Indonesia.	We have European, Japanese and Indonesian food.
Kami mau makanan Indonesia.	We want the Indonesian food.	
Saya suka sate kambing.	I like sate kambing.
Anda pesan apa?	What is your order?
Gudeg Yogya.	Gudeg Yogya.
Anda mau makan apa?	What would you like to eat?
Sama dengan Ibu. Saya suka sate.	Same as mother.  I like sate.
Minumannya?	Anything to drink?
Teh es, semua.	Iced tea, for all.
Baik, silakan tunggu sebentar.	All right, please wait.
Bagaimana, Anda suka masakan Indonesia?	Well, do you like Indonesian food?
Ya, saya suka sekali.	Yes, I like it very much.
Nyonya Johnson, suka Juga?	Mrs. Johnson, do you like it too?
Ya, enak sekali.	Yes it's very delicious.
Apa tidak terlalu pedas?	Is it not too spicy?
Saya suka masakan pedas.	I like spicy food.
Tolong minta bonnya?	May I have the bill, please?
Ini, Pak.  Silakan bayar di kasir.	Please pay at the cashier.
Empat belas ribu rupiah.	Fourteen thousand rupiahs.
Cukup murah harganya.	That's quite cheap.
Ya. Lebih murah dari harga di negeri Anda.	Yes.  Cheaper than what you'd pay in your country.
Di sini ada jual rokok?	You sell cigarettes here?
Rokok kretek, ada?	Do you have kretek cigarettes?
Itu, di sebalah sana.	There, over there.
Apa sikat gigi uga ada di sana?	Are there tooth brushes also available here?
Ya bu.  Sabun mandi dan sampo juga ada.	Soap and shampoo are also available.  (soap bath and shampoo also there is)
Terima kasih.	Thank you.

berbelanja	shopping

Selamat pagi, pak.	Good morning, sir.
Silakan.	Please.
Saya mau beli sepatu loahraga.	I want to buy some sport shoes. (I want buy shoes sport)
Ada, Pak.	We have them sir. (there is, sir)
Di sini banyak model, silakan pilih.	Many models here, just select the one you want.  (here many models, please select)
Berapa harga sepatu ini?	What do these shoes cost? (how much cost shoes these)
Tiga puluh ribu rupiah.	Thirty thousand rupiah.
Ada kaos kaki, Pak?	Do you have any socks, sir? (there is shirt foot, sir)
Saya mau warna biru.	I want blue ones. (I want color blue)
Berapa pasang, bu?	How many pairs, maam. 
Satu pasang saja.	Just one pair.  (one pair only)
Ada lagi yang Anda perlukan?	Is there anything else you need? (there is else which you need)
Cukup.  berapa semua, Pak?	It's enough.  How much for all, sir? (enough. how much all)
Tiga puluh lima ribu rupiah.	Thirty-five thousand rupiahs.
Di mana kasirnya?	Where is the cashier?
Di dekat pintu kiluar, Pak.	Near the exit door, sir.
Tolong bungkus rapi, ya?	Please wrap it up neatly, okay? (please wrap neat, yes)	
Baik, Pak.	All right, sir.

fasilitas kesehatan	health facilities

Salamat pagi.	Good morning.
Apa yang dapat saya bantu?	What can I do for you? (what which can I help)
Saya perlu doctor.	I need a doctor.
Siapa yang sakit?	Who is sick?
Anak saya, tangannya luka.	My child, he's cut his arm. (my child, hand cut)
Segera saya telepon kan docter.	I'll call the doctor right away. (immediately I call it doctor)
Tunggu saja di kamar.	Just wait in the room. (wait just in room)
Terima kasih.	Thank  you.
Kenapa anak Bapak?	What's the matter with your child? (why child father)
Dia terjatuh tadi pagi.	He fell down this morning. (he fell last morning)
Apanya yang luka?	What did he hurt?
Tangannya, Pak.	His arm, sir.
Mari saya periksa.	Let me see.
Bagaimana lukanya?	How is the wound?
Hanya luka kecil.	It hurts only a bit. (only hurt a bit)
Ini resep, belilah obat di apotek.	This is the prescription, buy the medicine at the chemist's.

pemandu wisata	the tourist guide

Selamat pagi.	Good morning.
Siapa anda?	Who are you?
Saya permandu wisata.	I am a tourist guide. (I guide tourist)
Saya ditugaskan untuk menemani Anda.	I am here to guide you. (I assigned to escort you)
Siapa nama Anda?	What's your name? (who name you)
Nama saya Sanjaya.	My name is Sanjaya.
Panggil saja Jaya.	Just call me Jaya. (call just Jaya)
Saya Johnson.	I am Johnson.
Ini istri saya, Nancy.	This is my wife, Nancy. (this wife my, Nancy)
Saya harap Anda tidak keberatan dengan saya.	I hope you don't mind being with me. (I hope you no object with me)
Kama senang sekali.	We're very glad to have you. (we happy very)
Berapa bahasa yang Anda kuasai?	How many languages do you speak? (how many languages which you control)
Empat bahasa.	Four languages.
Inggris, Perancis, Jerman dan Japang.	English, French, German and Japanese.
Luar biasa.  Di mana anda mempelajarinya?	Excellent.  Where did you learn them?  (beyond ordinary.  where you learn)


