abad	century
ada	there is
adakah	is there
adalah	to be
adanya	existence
agar	so that
agustus	august
ahil	expert
air	water
akan	will
aku	I, me
alam	nature
alat	tool
ambil	take
anak	child
anda	you
aneh	curious
anggata	member
angin	air
angkat	lift up
anfar	dispatch
antik	antique
apa	what
api	fire
apotik	chemist
april	april
arah	direction
arti	meaning
asam	acid,sour
atas	on
atau	or
aturan	rule
awat	earlier
ayah	father
ayo	come on, let's go
baca	to read
badan	body
bagaimana	how
bagi	for
bagian	part
bagus	good
bahan	material
bahasa	language
baik	good
baiklah	all right
bakar	grilled
bangun	to build
bantu	to help
banyak	many, much, a lot
bapak	sir, mister, father
barang	things
barat	west
baru	new
bawa	take
bayar	to pay
bebas	free
beberapa	some
begine	like this
begitu	so, like that
belajar	study
beli	to buy
belum	not yet
benar	true
bendera	flag
bentuk	form
berangkat	to leave
berapa	how many, how much
berarti	it means, meaningful
berat	heavy
berbahagia	to be happy
berbahasa	to speak
berbahaya	dangerous
berbelanja	to go shopping
berbicara	to speak
berbunyl	to found
berdekatan	to be near, close to
berditi	to stand
berdua	both
bergerak	to move
berhenti	to stop
berikutnya	next
berjalan	to walk
berkeliling	to tour, go round
berkomunikasi	to communicate
berlibur	to have a holiday
bermacam-macam	variety
bersama	together
bertanya	to ask
bertemu	to meet
besar	big, large
besok	tomorrow
biar	to let alone
biasa	usual, ordinary
biasanya	usually
bilangan	numeral
binatang	animal
biro	office
biru	blue
bisa	can
boleh	may
bon	bill, note
bu	madam, mother
buah	fruit
buang	to throw
bukan	not
bukit	hill
buku	book
bulan	month, moon
bunga	flower
bungkus	package
burung	bird
buru-buru	in a hurry
bus	bus
butuh	need
candi	temple
cantik	beautiful
cara	manner
cari	to look for
cepat	fast
cerah	clear, bright
cerita	story
ciri	specially
coba	try
coklat	brown
contoh	example
cuaca	weather
cukup	enough
dairah	region
daftar	list
dalam	in, inside
dan	and
danau	lake
dapat	can
dari	from
datang	come
dekat	near
delapan	eight
demokrasi	democracy
dengan	with
dengar	listen
depan	front
di	at, in
dia	he, she
diadakan	held
di antara	among
diarahkan	directed
dibakar	grilled
dibangun	constructed
dibawa	taken
di bawah	under
diberi	given
di dalam	inside
di dekat	near the
digunakan	used for
dikembalikan	to be brought back
dilarang	forbidden, prohibited
diletakkan	laid
dilindungi	protected
di mana	where
dimulai	begun
dinding	wall
dingin	cold
dipilih	chosen
dipinjam	borrowed
di sana	there
di sebelah	beside
disiapkan	served
di sini	here
di situ	there
ditemukan	found
dua	tow
duduk	sit
dulu	formerly, in the past
emas	gold
empat	four
enak	delicious
enum	six
engkau	you
es	ice
fasilitas	facility
februari	february
formulir	form
foto	photo
gambar	picture
gamelan	gamelan orchestra
ganti	change
garis	line
gedung	building
gelap	dark
gembira	happy
gerak	action, movement
gigi	tooth
gua	cave
guna	use
gunung	mountain
hadiah	gift
halaman	yard/page
haluan	prow
handuk	towel
hangat	warm
hanya	only
harap	to hope
harga	price, cost
hari	day
harus	must
hasil	result
hati-hati	be careful
haus	thirsty
hijau	green
hilang	lost
hitam	black
hitung	to count
hotel	hotel
hujan	rain
ia	he, she
ialah	is, are
ibu	mother
kan	fish
ikat	to tie
ikut	follow
indah	beautiful
informasi	information
inggris	English
ingin	wish, want
ini	this
isi	content
istana	palace
istilah	term
istimewa	special
istri	wife
itu	that
jadual	table, list, schedule
jagung	corn
jalan	road, way
jalur	direction
jam	watch
jangan	do not, no
jangkar	anchor
janji	promise
Januari	January
jarak	distance
jauh	far
jemput	pickup
jenis	kind, type
jernih	clear
jika	if
jual	to sell
juga	also, too
Juli	July
jum'at	Friday
Juni	June
jurusan	direction
kabar	informasi, news
kabut	fog
kaki	foot, feet
kalau	if
kalian	you
kalimat	sentence
kamar	room
kambing	goat
kamera	camera
kami	we, us
kamis	Thursday
kampung	village
kamu	you
kanan	right
kaos	sock
kapal	ship
kapan	when
karcis	ticket
karena	because
kasir	cashier
kata	word
kau	you
kawan	friend
ke	to, at
keadaan	condition
keberatan	objection
kebun	garden
kecil	small
kehidupan	life, existence
kehujanan	get caught in the rain
kelapa	coconut
kelas	class
kelihatan	seem, seen
keliling	tour
keluarga	family
kemampuan	ability
ke mana	where to
kemarau	dry season
kemari	to come here
kemarin	yesterday
kembali	come back
kemudian	after that, and then
kenapa	why
kepada	to
kepala	head
kereta	train
ke sana	there
kesehatan	health
kini	now
kira-kira	about
kiri	left
kita	we
kosong	empty
kota	town
kuda	horse
kunci	key
kuning	yellow
kupas	to peel
kurang	less, minus
kursi	chair
lagi	again
lahir	born
lain	another, different
lakukan	to do
lalu	a go, pass
lama	long
lamban	late
lambang	symbol
lampu	lamp
langsung	direct
lantai	floor
lapar	hungry
lari	to run
lebar	large, wide
lebat	heavy
lebih	more
lebih-kurang	plus-minus
ledakan	explosion
lelah	tired
lembaga	institution
lengkap	complete
letak	located, situated
lezat	delicious
libur	holiday
lihat	to see
lima	five
lobang	hole
lokasi	location
luar	outside
luas	large, wide
lucu	amusing, funny
luka	hurt
lupa	forget
maaf	excuse, sorry
macam	kind
macet	crowded, traffic jam
mahal	expensive
maka	also, so that
makan	to eat
makanan	food
makin	more and more
makna	meaning
maksud	purpose
malam	evening
mampir	stop by
mana	where
mancing	go fishing
mandi	take a bath
mangga	mango
manis	sweet
Maret	March
mari	let's
masak	ripe, cook
masakan	food
masih	still
masuk	enter
mata	eyes
matahari	sun
matang	ripe
mau	want
mayat	corpse
Mei	May
meja	table
melakukan	to do, conduct, perform
melaporkan	to report
meletus	to explode
melihat	to see
memancing	to go fishing
memang	in fact
membaca	to read
membeli	to buy
membuat	to do
memesan	to order, to reserve, to book
memetik	to pick
memilih	to choose
memimpin	to lead
memperoleh	to obtain, to get
mempunyai	to have
menambah	to add
menangkap	to catch
menari	to dance
menarik	to pull
mencapai	to attain
mencari	to search, to look for
menelepon	to phone
menemani	to accompany
menemukan	to find, to discover
menerima	to receive, accept
mengadakan	to do, to hold
menganut	to be a participant of
mengapa	why
mengesankan	impressive
mengganggu	to disturb
menggunakan	to use
menikmati	to enjoy
meninggal	to die
menit	minute
menjadi	to become
menunggu	to wait
menyaksikan	to watch
menyelam	to dive
merah	red
merasa	to feel
merdeka	free, freedom
mereka	they, them
meter	meter
milyar	billion
minggu	week, Sunday
minta	to ask
minum	to drink
minuman	beverage
mobil	car
mode	mode, type
monumen	monument
muda	young, unripe
mulai	to begin
mulut	mouth
mungkin	may be, possible
marah	cheap
museum	museum
musik	music
musim	season
mutiara	pearl
mutu	quality
naik	ascend, come up, go up
nama	name
nanti	later
negara	nation, state
negeri	country
ngantuk	tired, sleepy
nomor	number
nona	miss
November	November
nyonya	madam
obat	medicine
objek	object
Oktober	October
olahraga	sport
ongkos	price, cost
orang	person
pagi	morning
paham	to understand
pak	sir, mister
pakai	to use
paling	the  most
panas	warm, hot
pancing	fish hook
panggil	to call
